Question_number,Category
2,Activist 
4,Activist 
6,Activist 
10,Activist 
17,Activist 
23,Activist 
24,Activist 
32,Activist 
34,Activist 
38,Activist 
40,Activist 
43,Activist 
45,Activist 
48,Activist 
58,Activist 
64,Activist 
71,Activist 
72,Activist 
74,Activist 
79,Activist 
7,Reflector 
13,Reflector 
15,Reflector 
16,Reflector 
25,Reflector 
28,Reflector 
29,Reflector 
31,Reflector 
33,Reflector 
36,Reflector 
39,Reflector 
41,Reflector 
46,Reflector 
52,Reflector 
55,Reflector 
60,Reflector 
62,Reflector 
66,Reflector 
67,Reflector 
76,Reflector 
1,Theorist 
3,Theorist 
8,Theorist 
12,Theorist 
14,Theorist 
18,Theorist 
20,Theorist 
22,Theorist 
26,Theorist 
30,Theorist 
42,Theorist 
47,Theorist 
51,Theorist 
57,Theorist 
61,Theorist 
63,Theorist 
68,Theorist 
75,Theorist 
77,Theorist 
78,Theorist 
5,Pragmatist 
9,Pragmatist 
11,Pragmatist 
19,Pragmatist 
21,Pragmatist 
27,Pragmatist 
35,Pragmatist 
37,Pragmatist 
44,Pragmatist 
49,Pragmatist 
50,Pragmatist 
53,Pragmatist 
54,Pragmatist 
56,Pragmatist 
59,Pragmatist 
65,Pragmatist 
69,Pragmatist 
70,Pragmatist 
73,Pragmatist 
80,Pragmatist 
